2001 7.680541

4001 6.563402

6001 4.261233

8001 5.505207

10001 2.338215

12001 3.146649

14001 2.970925

16001 2.42999

18001 3.376946

20001 3.982853

22001 2.727089

24001 2.866954

26001 2.370664

28001 1.815116

30001 1.471383

32001 4.14271

34001 5.594872

36001 4.108318

38001 3.537731

40001 1.159147

42001 0.924024

44001 1.146541

46001 1.363169

48001 0.826954

50001 0.971553

52001 0.571

54001 1.267287

56001 1.044984

58001 1.024687

60001 0.545697

62001 1.226285

64001 1.571874

66001 1.170466

68001 0.836915

70001 1.83439

72001 0.888802

74001 0.884082

76001 1.068948

78001 1.141008

80001 1.01049

82001 1.092377

84001 1.477453

86001 1.205716

88001 0.972886

90001 0.737419

92001 0.781477

94001 0.656735

96001 0.871383

98001 0.391326

100001 0.408593

102001 0.601055

104001 0.688984

106001 0.76607

108001 0.604682

110001 0.5926

112001 0.355671

114001 0.850299

116001 0.70711

118001 0.407242

120001 0.528155

122001 0.350781

124001 0.635745

126001 0.586836

128001 0.819415

130001 0.896088

132001 0.764798

134001 0.524997

136001 0.506143

138001 0.413415

140001 0.427702

142001 0.383679

144001 0.38728

146001 0.397968

148001 0.453455

150001 0.362193

152001 0.265608

154001 0.441197

156001 0.484138

158001 0.307465

160001 0.430192

162001 0.310664

164001 0.369248

166001 0.559355

168001 0.44823

170001 0.360354

172001 0.368226

174001 0.464576

176001 0.30364

178001 0.41775

180001 0.358634

182001 0.328929

184001 0.484386

186001 0.413338

188001 0.327074

190001 0.260014

192001 0.38937

194001 0.252202

196001 0.216806

198001 0.342873

200001 0.270503

202001 0.312747

204001 0.23503

206001 0.341213

208001 0.322097

210001 0.410183

212001 0.29483
